backray pix_x= 800; pix_y= 480; viewmat= [0.885722, 0.184677, -0.425899, 0.000000, -0.233545, 0.970170, -0.065009, 0.000000, 0.401189, 0.157047, 0.902432, 0.000000, -0.378750, -1.815881, 3.213168, 1.000000]; ray_dir= [0.000000, -0.032001, 1.000000]
contrib= 169, alpha= 0.006478, omega=0.000112, r= 0.909545, x= 0.400199, y= 0.020361, z= 0.110247, dL_dr= -0.000062, dL_dx= -0.000013, dL_dy= 0.000023, dL_dz= 0.000003, dL_dopa= -0.001624, dep= 3.776797
contrib= 165, alpha= 0.097447, omega=0.001866, r= 0.892690, x= 0.433661, y= -0.015515, z= 0.121661, dL_dr= -0.001126, dL_dx= 0.000005, dL_dy= 0.000229, dL_dz= -0.000042, dL_dopa= -0.001750, dep= 3.767137
contrib= 163, alpha= 0.075158, omega=0.001556, r= 0.932307, x= 0.207466, y= -0.016594, z= 0.295782, dL_dr= -0.000449, dL_dx= -0.001093, dL_dy= 0.000563, dL_dz= -0.000037, dL_dopa= -0.000524, dep= 3.689071
contrib= 161, alpha= 0.329387, omega=0.010168, r= 0.927527, x= 0.338774, y= 0.154274, z= -0.033560, dL_dr= -0.004798, dL_dx= -0.003233, dL_dy= 0.004009, dL_dz= 0.002175, dL_dopa= -0.001709, dep= 3.712830
contrib= 159, alpha= 0.023991, omega=0.000759, r= 0.995138, x= 0.094444, y= -0.021624, z= 0.017665, dL_dr= -0.000100, dL_dx= -0.000845, dL_dy= -0.000030, dL_dz= -0.000023, dL_dopa= 0.002876, dep= 3.729496
contrib= 158, alpha= 0.012657, omega=0.000405, r= 0.841355, x= 0.390648, y= 0.112621, z= 0.356135, dL_dr= -0.000221, dL_dx= -0.000020, dL_dy= 0.000331, dL_dz= 0.000063, dL_dopa= 0.001337, dep= 3.697520
contrib= 156, alpha= 0.009462, omega=0.000306, r= 0.893258, x= 0.413495, y= 0.069776, z= 0.161996, dL_dr= -0.000176, dL_dx= -0.000017, dL_dy= 0.000130, dL_dz= 0.000029, dL_dopa= -0.001297, dep= 3.781244
contrib= 155, alpha= 0.004243, omega=0.000138, r= 0.910495, x= 0.337817, y= 0.193709, z= -0.139125, dL_dr= -0.000065, dL_dx= -0.000041, dL_dy= 0.000050, dL_dz= 0.000037, dL_dopa= -0.001355, dep= 3.679189
contrib= 154, alpha= 0.054749, omega=0.001881, r= 0.917158, x= 0.394807, y= 0.046543, z= 0.027964, dL_dr= -0.001034, dL_dx= -0.000268, dL_dy= 0.000321, dL_dz= 0.000120, dL_dopa= -0.002362, dep= 3.760683
contrib= 151, alpha= 0.141367, omega=0.005657, r= 0.900335, x= 0.401929, y= -0.018063, z= 0.165901, dL_dr= -0.003165, dL_dx= -0.000561, dL_dy= 0.001001, dL_dz= -0.000148, dL_dopa= -0.002607, dep= 3.727775
contrib= 150, alpha= 0.122686, omega=0.005596, r= 0.912498, x= 0.402495, y= -0.005873, z= 0.072879, dL_dr= -0.003135, dL_dx= -0.000639, dL_dy= 0.000461, dL_dz= -0.000051, dL_dopa= -0.002718, dep= 3.743817
contrib= 145, alpha= 0.024957, omega=0.001167, r= 0.872099, x= 0.457211, y= 0.035836, z= 0.170638, dL_dr= -0.000743, dL_dx= 0.000115, dL_dy= 0.000395, dL_dz= 0.000057, dL_dopa= -0.000833, dep= 3.793694
contrib= 141, alpha= 0.104834, omega=0.005478, r= 0.871278, x= 0.405196, y= -0.016186, z= 0.276456, dL_dr= -0.003090, dL_dx= -0.000272, dL_dy= 0.001842, dL_dz= -0.000129, dL_dopa= -0.001795, dep= 3.754840
contrib= 140, alpha= 0.008156, omega=0.000430, r= 0.960194, x= 0.221178, y= 0.158250, z= -0.063761, dL_dr= -0.000132, dL_dx= -0.000301, dL_dy= 0.000156, dL_dz= 0.000094, dL_dopa= 0.001432, dep= 3.694556
contrib= 138, alpha= 0.219318, omega=0.014801, r= 0.945163, x= 0.313821, y= -0.090393, z= -0.003523, dL_dr= -0.006462, dL_dx= -0.006131, dL_dy= -0.003948, dL_dz= -0.001873, dL_dopa= -0.001912, dep= 3.696567
contrib= 133, alpha= 0.272919, omega=0.025332, r= 0.910908, x= 0.379853, y= -0.000650, z= 0.161114, dL_dr= -0.013394, dL_dx= -0.004491, dL_dy= 0.005580, dL_dz= -0.000045, dL_dopa= -0.003505, dep= 3.735455
contrib= 132, alpha= 0.008464, omega=0.000792, r= 0.890697, x= 0.426867, y= -0.072492, z= 0.138522, dL_dr= -0.000471, dL_dx= -0.000011, dL_dy= -0.000014, dL_dz= -0.000081, dL_dopa= -0.002501, dep= 3.749367
contrib= 126, alpha= 0.004129, omega=0.000388, r= 0.879442, x= 0.458460, y= 0.015297, z= 0.127132, dL_dr= -0.000248, dL_dx= 0.000036, dL_dy= 0.000085, dL_dz= 0.000008, dL_dopa= -0.000848, dep= 3.756795
contrib= 119, alpha= 0.147015, omega=0.016201, r= 0.890640, x= 0.421438, y= -0.091708, z= 0.144015, dL_dr= -0.009500, dL_dx= -0.000479, dL_dy= -0.001054, dL_dz= -0.002084, dL_dopa= -0.002881, dep= 3.729165
contrib= 118, alpha= 0.024844, omega=0.002808, r= 0.872734, x= 0.449353, y= -0.072826, z= 0.176389, dL_dr= -0.001756, dL_dx= 0.000212, dL_dy= 0.000096, dL_dz= -0.000288, dL_dopa= -0.001677, dep= 3.738110
contrib= 110, alpha= 0.068751, omega=0.008343, r= 0.903546, x= 0.396052, y= -0.045515, z= 0.157082, dL_dr= -0.004598, dL_dx= -0.001005, dL_dy= 0.000716, dL_dz= -0.000536, dL_dopa= -0.003416, dep= 3.729074
contrib= 103, alpha= 0.004190, omega=0.000511, r= 0.954918, x= 0.280793, y= 0.088152, z= 0.038942, dL_dr= -0.000200, dL_dx= -0.000267, dL_dy= 0.000156, dL_dz= 0.000062, dL_dopa= 0.001142, dep= 3.676963
contrib= 99, alpha= 0.014867, omega=0.001839, r= 0.917858, x= 0.349575, y= -0.146901, z= 0.117274, dL_dr= -0.000894, dL_dx= -0.000504, dL_dy= -0.000480, dL_dz= -0.000378, dL_dopa= -0.001271, dep= 3.721030
contrib= 84, alpha= 0.619640, omega=0.201521, r= 0.915490, x= 0.370941, y= -0.057981, z= 0.144637, dL_dr= -0.104024, dL_dx= -0.042158, dL_dy= 0.006581, dL_dz= -0.016438, dL_dopa= -0.009160, dep= 3.683523
contrib= 83, alpha= 0.619640, omega=0.529816, r= 0.915490, x= 0.370941, y= -0.057981, z= 0.144637, dL_dr= -0.273487, dL_dx= -0.110838, dL_dy= 0.017301, dL_dz= -0.043218, dL_dopa= -0.009160, dep= 3.683523
contrib= 79, alpha= 0.094403, omega=0.089132, r= 0.927024, x= 0.273005, y= 0.071069, z= -0.247072, dL_dr= -0.033886, dL_dx= -0.045069, dL_dy= -0.012652, dL_dz= 0.008761, dL_dopa= 0.014573, dep= 3.677473
contrib= 78, alpha= 0.008066, omega=0.007677, r= 0.961083, x= 0.265328, y= -0.065124, z= 0.040982, dL_dr= -0.002834, dL_dx= -0.004420, dL_dy= -0.001015, dL_dz= -0.000701, dL_dopa= 0.023844, dep= 3.706374
contrib= 69, alpha= 0.047523, omega=0.047492, r= 0.935475, x= 0.308283, y= -0.040703, z= 0.167905, dL_dr= -0.020375, dL_dx= -0.019806, dL_dy= 0.005444, dL_dz= -0.002725, dL_dopa= 0.004094, dep= 3.665153
